"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1702366980000,0.05325,0.05325,0.05324,0.05325,52.17,2.778,"direct","",1702366980,"2023-12-12"
1702367040000,0.05325,0.05325,0.05324,0.05325,70.72,3.765,"direct","",1702367040,"2023-12-12"
1702367100000,0.05324,0.05325,0.05324,0.05325,73.96,3.937,"direct","",1702367100,"2023-12-12"
1702367160000,0.05322,0.05324,0.05322,0.05324,118.12,6.287,"direct","",1702367160,"2023-12-12"
1702367220000,0.05323,0.05323,0.05322,0.05322,90.5,4.816,"direct","",1702367220,"2023-12-12"
1702367280000,0.0532,0.05323,0.0532,0.05323,59.32,3.156,"direct","",1702367280,"2023-12-12"
1702367340000,0.05321,0.05322,0.05319,0.0532,83.44,4.439,"direct","",1702367340,"2023-12-12"
1702367400000,0.05325,0.05325,0.05321,0.05321,130.36,6.938,"direct","",1702367400,"2023-12-12"
1702367460000,0.05324,0.05326,0.05324,0.05325,88.62,4.719,"direct","",1702367460,"2023-12-12"
1702367520000,0.05327,0.05327,0.05323,0.05324,100.57,5.355,"direct","",1702367520,"2023-12-12"
1702367580000,0.05327,0.05328,0.05326,0.05327,64.72,3.448,"direct","",1702367580,"2023-12-12"
1702367640000,0.05328,0.05328,0.05323,0.05327,133.14,7.09,"direct","",1702367640,"2023-12-12"
1702367700000,0.05327,0.05329,0.05327,0.05328,63.89,3.404,"direct","",1702367700,"2023-12-12"
1702367760000,0.05326,0.05327,0.05326,0.05327,33.85,1.803,"direct","",1702367760,"2023-12-12"
1702367820000,0.05326,0.05327,0.05326,0.05326,43.95,2.341,"direct","",1702367820,"2023-12-12"
1702367880000,0.05325,0.05326,0.05325,0.05326,16.21,0.8633,"direct","",1702367880,"2023-12-12"
1702367940000,0.05327,0.05327,0.05325,0.05325,52.84,2.814,"direct","",1702367940,"2023-12-12"
1702368000000,0.05323,0.05327,0.05323,0.05327,90.09,4.797,"direct","",1702368000,"2023-12-12"
1702368060000,0.05321,0.05323,0.0532,0.05323,167.26,8.9,"direct","",1702368060,"2023-12-12"
1702368120000,0.05325,0.05325,0.0532,0.05321,137.84,7.336,"direct","",1702368120,"2023-12-12"
1702368180000,0.05325,0.05325,0.05324,0.05325,74.11,3.947,"direct","",1702368180,"2023-12-12"
1702368240000,0.05327,0.05327,0.05325,0.05325,63.94,3.406,"direct","",1702368240,"2023-12-12"
1702368300000,0.05326,0.05327,0.05326,0.05327,94.16,5.015,"direct","",1702368300,"2023-12-12"
1702368360000,0.05325,0.05326,0.05325,0.05326,166.07,8.844,"direct","",1702368360,"2023-12-12"
1702368420000,0.05326,0.05327,0.05325,0.05325,65.61,3.494,"direct","",1702368420,"2023-12-12"
1702368480000,0.05325,0.05326,0.05324,0.05326,38.97,2.075,"direct","",1702368480,"2023-12-12"
1702368540000,0.05326,0.05326,0.05324,0.05325,56.89,3.029,"direct","",1702368540,"2023-12-12"
1702368600000,0.05325,0.05327,0.05325,0.05326,41.43,2.207,"direct","",1702368600,"2023-12-12"
1702368660000,0.05325,0.05325,0.05322,0.05325,104.72,5.574,"direct","",1702368660,"2023-12-12"
1702368720000,0.05324,0.05325,0.05324,0.05325,42.28,2.251,"direct","",1702368720,"2023-12-12"
1702368780000,0.05325,0.05325,0.05324,0.05324,54.06,2.878,"direct","",1702368780,"2023-12-12"
1702368840000,0.05325,0.05326,0.05325,0.05325,41.12,2.189,,,1702368840,"2023-12-12"
1702368900000,0.05326,0.05326,0.05325,0.05325,37.98,2.022,,,1702368900,"2023-12-12"
1702368960000,0.05325,0.05327,0.05325,0.05326,83.56,4.45,,,1702368960,"2023-12-12"
1702369020000,0.05325,0.05325,0.05325,0.05325,28.47,1.516,,,1702369020,"2023-12-12"
1702369080000,0.05325,0.05325,0.05325,0.05325,51.42,2.738,,,1702369080,"2023-12-12"
1702369140000,0.05325,0.05325,0.05325,0.05325,9.184,0.489,,,1702369140,"2023-12-12"
1702369200000,0.05325,0.05325,0.05325,0.05325,12.43,0.6618,,,1702369200,"2023-12-12"
1702369260000,0.05324,0.05325,0.05324,0.05325,28.5,1.517,,,1702369260,"2023-12-12"
1702369320000,0.05324,0.05324,0.05324,0.05324,53.46,2.846,,,1702369320,"2023-12-12"
1702369380000,0.05326,0.05326,0.05324,0.05324,54.71,2.913,,,1702369380,"2023-12-12"
1702369440000,0.05326,0.05326,0.05326,0.05326,30.65,1.633,,,1702369440,"2023-12-12"
1702369500000,0.05326,0.05326,0.05325,0.05326,28.87,1.537,,,1702369500,"2023-12-12"
1702369560000,0.05327,0.05329,0.05326,0.05326,61.8,3.292,,,1702369560,"2023-12-12"
1702369620000,0.05327,0.05327,0.05326,0.05327,82.23,4.38,,,1702369620,"2023-12-12"
1702369680000,0.0533,0.0533,0.05327,0.05327,68.78,3.665,,,1702369680,"2023-12-12"
1702369740000,0.05332,0.05332,0.0533,0.0533,31.83,1.697,,,1702369740,"2023-12-12"
1702369800000,0.05331,0.05333,0.05331,0.05332,70.97,3.784,,,1702369800,"2023-12-12"
1702369860000,0.05331,0.05332,0.05331,0.05331,74.25,3.959,,,1702369860,"2023-12-12"
1702369920000,0.05329,0.05331,0.05329,0.05331,35.08,1.87,,,1702369920,"2023-12-12"
1702369980000,0.05328,0.05329,0.05327,0.05329,58.36,3.109,,,1702369980,"2023-12-12"
1702370040000,0.05327,0.05328,0.05327,0.05328,17.28,0.9206,,,1702370040,"2023-12-12"
1702370100000,0.05326,0.05328,0.05326,0.05327,46.58,2.481,,,1702370100,"2023-12-12"
1702370160000,0.05324,0.05326,0.05324,0.05326,51.97,2.768,,,1702370160,"2023-12-12"
1702370220000,0.05324,0.05324,0.05323,0.05324,11.52,0.6134,,,1702370220,"2023-12-12"
1702370280000,0.05323,0.05324,0.05322,0.05324,38.03,2.024,,,1702370280,"2023-12-12"
1702370340000,0.05322,0.05323,0.05322,0.05323,27.12,1.443,,,1702370340,"2023-12-12"
1702370400000,0.05322,0.05322,0.05321,0.05322,17.69,0.9417,,,1702370400,"2023-12-12"
1702370460000,0.05323,0.05323,0.05321,0.05322,33.61,1.789,,,1702370460,"2023-12-12"
1702370520000,0.05325,0.05325,0.05323,0.05323,56.49,3.007,,,1702370520,"2023-12-12"
1702370580000,0.05325,0.05325,0.05325,0.05325,0,0,,,1702370580,"2023-12-12"
