"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1702362960000,0.05344,0.05344,0.05342,0.05343,66.14,3.533,"direct","",1702362960,"2023-12-12"
1702363020000,0.05346,0.05346,0.05344,0.05344,45.86,2.451,,,1702363020,"2023-12-12"
1702363080000,0.05347,0.05347,0.05346,0.05346,18.04,0.9644,,,1702363080,"2023-12-12"
1702363140000,0.05347,0.05347,0.05346,0.05347,12.64,0.6758,,,1702363140,"2023-12-12"
1702363200000,0.05348,0.05348,0.05347,0.05347,21.87,1.169,,,1702363200,"2023-12-12"
1702363260000,0.05346,0.05348,0.05346,0.05348,24.1,1.289,,,1702363260,"2023-12-12"
1702363320000,0.05346,0.05347,0.05346,0.05346,24.15,1.291,,,1702363320,"2023-12-12"
1702363380000,0.05345,0.05346,0.05345,0.05346,27.67,1.479,,,1702363380,"2023-12-12"
1702363440000,0.05345,0.05345,0.05345,0.05345,3.344,0.1787,,,1702363440,"2023-12-12"
1702363500000,0.05345,0.05346,0.05345,0.05345,52.49,2.806,,,1702363500,"2023-12-12"
1702363560000,0.05342,0.05345,0.05342,0.05345,45.38,2.425,,,1702363560,"2023-12-12"
1702363620000,0.05339,0.05343,0.05339,0.05342,137.8,7.358,,,1702363620,"2023-12-12"
1702363680000,0.05339,0.05339,0.05337,0.05339,76.06,4.06,,,1702363680,"2023-12-12"
1702363740000,0.0534,0.05341,0.05339,0.05339,21.46,1.146,,,1702363740,"2023-12-12"
1702363800000,0.05339,0.0534,0.05339,0.0534,45.25,2.416,,,1702363800,"2023-12-12"
1702363860000,0.05339,0.0534,0.05339,0.05339,32.92,1.758,,,1702363860,"2023-12-12"
1702363920000,0.05338,0.05339,0.05338,0.05339,33.22,1.773,,,1702363920,"2023-12-12"
1702363980000,0.05338,0.05339,0.05337,0.05338,35.19,1.878,,,1702363980,"2023-12-12"
1702364040000,0.05337,0.05338,0.05337,0.05338,26.5,1.414,,,1702364040,"2023-12-12"
1702364100000,0.05336,0.05337,0.05336,0.05337,35.08,1.872,,,1702364100,"2023-12-12"
1702364160000,0.05334,0.05336,0.05334,0.05336,40.04,2.136,,,1702364160,"2023-12-12"
1702364220000,0.05336,0.05336,0.05334,0.05334,19.34,1.032,,,1702364220,"2023-12-12"
1702364280000,0.05336,0.05336,0.05336,0.05336,9.917,0.5292,,,1702364280,"2023-12-12"
1702364340000,0.05335,0.05336,0.05335,0.05336,50.62,2.701,,,1702364340,"2023-12-12"
1702364400000,0.05334,0.05336,0.05334,0.05335,79.56,4.244,,,1702364400,"2023-12-12"
1702364460000,0.05331,0.05334,0.05329,0.05334,189.31,10.09,,,1702364460,"2023-12-12"
1702364520000,0.05331,0.05333,0.05331,0.05331,41.28,2.201,,,1702364520,"2023-12-12"
1702364580000,0.0533,0.05332,0.05329,0.05331,89.47,4.769,,,1702364580,"2023-12-12"
1702364640000,0.05329,0.05331,0.05329,0.0533,67.31,3.588,,,1702364640,"2023-12-12"
1702364700000,0.05329,0.0533,0.05328,0.05329,27.47,1.464,,,1702364700,"2023-12-12"
1702364760000,0.05329,0.05329,0.05329,0.05329,0,0,,,1702364760,"2023-12-12"
